epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.541,1.63582,5.15215,1.03886,0.01098,0.78607,0.03332,0.01834,0.89848,4.03974,0.83622,5.82315e-05,5.82315e-05,5.82315e-05
2,1008.45,1.1636,3.78712,0.87823,0.05722,0.16081,0.06689,0.04317,0.81991,3.16599,0.82482,0.000115411,0.000115411,0.000115411
3,1543.17,1.04166,3.15969,0.86663,0.10731,0.30631,0.12206,0.08789,0.76269,2.7697,0.82128,0.000171435,0.000171435,0.000171435
4,2031.15,0.95404,2.80663,0.85632,0.16417,0.41808,0.19315,0.15198,0.68258,2.46347,0.81232,0.000169802,0.000169802,0.000169802
5,2542.88,0.90125,2.56685,0.8493,0.20627,0.47965,0.25383,0.20196,0.65614,2.23824,0.80933,0.00016807,0.00016807,0.00016807
6,3029.05,0.86306,2.39793,0.84328,0.2795,0.52431,0.33646,0.2744,0.64144,2.04668,0.80768,0.000166337,0.000166337,0.000166337
7,3519.43,0.84586,2.26624,0.84224,0.30689,0.58059,0.38446,0.31337,0.66533,1.95701,0.80795,0.000164605,0.000164605,0.000164605
8,4002.77,0.82502,2.13575,0.83926,0.34565,0.59244,0.43999,0.36861,0.60633,1.79798,0.80445,0.000162873,0.000162873,0.000162873
9,4481.04,0.80656,2.02157,0.83497,0.3955,0.62559,0.49359,0.41394,0.59685,1.65508,0.80348,0.00016114,0.00016114,0.00016114
10,4992.74,0.7884,1.91738,0.83382,0.41954,0.68399,0.53905,0.45365,0.5906,1.57771,0.80255,0.000159408,0.000159408,0.000159408
11,5492.01,0.77617,1.81558,0.83206,0.50283,0.6923,0.62594,0.53015,0.58515,1.42914,0.80309,0.000157675,0.000157675,0.000157675
12,5995.52,0.7697,1.73842,0.83072,0.54098,0.72144,0.66129,0.55974,0.5805,1.34819,0.80179,0.000155942,0.000155942,0.000155942
13,6510.45,0.75206,1.64672,0.828,0.57157,0.73871,0.70703,0.60074,0.57655,1.25455,0.79991,0.00015421,0.00015421,0.00015421
14,7000.09,0.74014,1.57751,0.82635,0.63611,0.7462,0.74614,0.63605,0.57901,1.18894,0.79977,0.000152477,0.000152477,0.000152477
15,7475.21,0.74337,1.50785,0.82763,0.68012,0.78757,0.79646,0.6828,0.55802,1.07247,0.79845,0.000150745,0.000150745,0.000150745
16,7957.35,0.73124,1.43318,0.82725,0.68853,0.79244,0.80236,0.68956,0.55185,1.04182,0.79795,0.000149012,0.000149012,0.000149012
17,8536.98,0.72174,1.3799,0.8256,0.74706,0.80017,0.83623,0.72215,0.55023,0.96995,0.79762,0.00014728,0.00014728,0.00014728
18,9095.72,0.71231,1.32469,0.82386,0.73508,0.81105,0.8398,0.72049,0.55461,0.95594,0.79754,0.000145548,0.000145548,0.000145548
19,9660.5,0.70589,1.28337,0.82391,0.76987,0.82907,0.85719,0.73959,0.54547,0.89958,0.79806,0.000143815,0.000143815,0.000143815
20,10243.9,0.70618,1.2337,0.82159,0.78768,0.8508,0.88012,0.75943,0.54299,0.83757,0.7958,0.000142083,0.000142083,0.000142083
